date,open,high,low,close,volume,pct_change
1998-12-23,32.75,32.8125,32.1563,32.8125,338300,0.02
1998-12-24,32.8125,32.8125,32.5625,32.6875,243700,-0.0
1998-12-28,33.1875,33.1875,32.5938,32.7813,309300,0.0
1998-12-29,32.9375,33.0156,32.5,32.875,123800,0.0
1998-12-30,32.6875,33.1406,32.5781,32.75,95600,-0.0
1998-12-31,32.75,32.9063,32.3438,32.625,77200,-0.0
1999-01-04,32.6563,33.5625,32.5938,33.0,650600,0.01
1999-01-05,33.0625,34.0313,33.0625,33.8438,295200,0.03
1999-01-06,34.6875,34.9375,34.4063,34.8438,624700,0.03
1999-01-07,34.5,35.0313,34.2813,34.7344,534600,-0.0
1999-01-08,35.5,35.5625,34.4844,34.875,532800,0.0
1999-01-11,35.875,35.875,34.8438,35.2188,497900,0.01
1999-01-12,35.5,35.5625,34.2656,34.2656,486000,-0.03
1999-01-13,32.0,35.1563,32.0,34.25,548200,-0.0
1999-01-14,34.3438,34.625,33.5625,33.7813,366300,-0.01
1999-01-15,34.0,34.7969,33.8438,34.7813,653900,0.03
1999-01-19,35.625,36.0,35.0156,35.9844,437300,0.03
1999-01-20,36.875,37.4844,36.25,36.3125,1132200,0.01
1999-01-21,36.25,36.3125,35.125,35.375,1492900,-0.03
1999-01-22,34.75,35.4063,34.3906,34.75,1291000,-0.02
1999-01-25,35.1875,35.375,34.5938,35.3594,946600,0.02
1999-01-26,35.75,36.8125,35.75,36.7813,713900,0.04
1999-01-27,37.25,37.4844,36.0,36.0,1366900,-0.02
1999-01-28,36.75,37.2813,36.6094,37.2656,903600,0.04
1999-01-29,37.375,37.8438,36.9375,37.8125,933600,0.01
1999-02-01,38.1563,38.375,37.5625,37.8438,913000,0.0
1999-02-02,38.0,38.0,36.625,37.2031,1259200,-0.02
1999-02-03,37.0625,38.0625,36.8125,37.4688,1334100,0.01
1999-02-04,37.75,37.75,35.875,36.1875,1945900,-0.03
1999-02-05,36.0,36.2188,34.75,35.3125,1832400,-0.02
1999-02-08,35.75,36.5,35.125,35.9063,1314600,0.02
1999-02-09,36.0,36.0313,34.3125,34.5,2085500,-0.04
1999-02-10,34.6563,35.4063,34.25,34.75,1401800,0.01
1999-02-11,35.375,36.2813,35.0313,36.2188,2666700,0.04
1999-02-12,35.375,35.7813,34.5938,34.7813,2917400,-0.04
1999-02-16,35.75,35.8125,34.5,34.625,1726400,-0.0
1999-02-17,33.75,34.9688,33.5625,33.8438,2783500,-0.02
1999-02-18,34.3125,34.4063,33.3438,34.0313,2075600,0.01
1999-02-19,34.625,34.875,34.1563,34.3438,1673600,0.01
1999-02-22,34.5938,35.6563,34.3438,35.5625,2368000,0.04
1999-02-23,36.0,36.4688,35.5625,36.0313,2065500,0.01
1999-02-24,36.375,36.4375,35.0313,35.0313,2500500,-0.03
1999-02-25,34.375,35.125,34.125,35.125,2566200,0.0
1999-02-26,35.0625,35.125,33.75,34.0625,2342600,-0.03
1999-03-01,33.625,34.1875,33.4375,33.9063,1092100,-0.0
1999-03-02,34.1875,34.5,33.0,33.0,2480200,-0.03
1999-03-03,33.5,33.7188,32.875,33.5625,1607800,0.02
1999-03-04,34.375,34.4688,33.125,33.9063,3199100,0.01
1999-03-05,34.875,35.0,34.2656,34.6875,1876900,0.02
1999-03-08,35.5,35.75,35.0313,35.6875,1659400,0.03
1999-03-09,35.5,36.1875,35.1875,35.3125,936000,-0.01
1999-03-10,35.3125,35.5313,34.8906,35.3125,442000,0.0
1999-03-11,35.5,35.9688,34.9063,35.25,1216200,-0.0
1999-03-12,35.5625,35.5625,34.5625,34.9375,836000,-0.01
1999-03-15,35.1875,35.5,34.6406,35.5,432100,0.02
1999-03-16,35.5313,36.25,35.4063,36.1094,758800,0.02
1999-03-17,36.0938,36.125,35.5625,35.875,425400,-0.01
1999-03-18,35.75,36.4063,35.625,36.375,321400,0.01
1999-03-19,36.6875,36.875,35.5,35.5,636500,-0.02
1999-03-22,35.5,35.8438,35.1875,35.5,773500,0.0
1999-03-23,35.25,35.25,34.2188,34.4688,1498600,-0.03
1999-03-24,34.6875,35.2969,34.0938,35.1406,616700,0.02
1999-03-25,35.8438,36.0938,35.5625,35.9688,595100,0.02
1999-03-26,35.8125,36.375,35.5938,35.7813,483500,-0.01
1999-03-29,36.25,37.1875,36.1563,37.125,949700,0.04
1999-03-30,36.9375,37.5,36.75,37.0625,842500,-0.0
1999-03-31,37.5,37.8125,36.5313,36.5938,774700,-0.01
1999-04-01,37.5,37.5313,36.5,37.1719,318500,0.02
1999-04-05,37.625,38.5,37.5938,38.4531,1003500,0.03
1999-04-06,38.6875,39.125,38.3125,38.7813,540100,0.01
1999-04-07,39.5,39.5625,37.9375,38.6875,931700,-0.0
