date,open,high,low,close,volume,pct_change
1998-12-23,25.1875,25.5938,25.1875,25.5938,18100,0.02
1998-12-24,25.625,25.75,25.5156,25.75,4900,0.01
1998-12-28,25.6719,25.75,25.375,25.375,15500,-0.01
1998-12-29,25.375,25.9375,25.375,25.9375,5300,0.02
1998-12-30,26.0,26.0313,25.7188,25.7188,17300,-0.01
1998-12-31,25.8125,26.0,25.75,26.0,6600,0.01
1999-01-04,26.25,26.375,25.7813,25.9375,249200,-0.0
1999-01-05,26.0,26.3438,26.0,26.3438,4400,0.02
1999-01-06,26.5313,26.7813,26.4688,26.7813,38500,0.02
1999-01-07,26.5313,26.6875,26.3438,26.6563,15900,-0.0
1999-01-08,26.7188,26.9844,26.7188,26.9844,24400,0.01
1999-01-11,26.9688,27.25,26.8125,27.0469,7700,0.0
1999-01-12,27.125,27.25,26.9063,26.9375,270700,-0.0
1999-01-13,25.7813,26.875,25.7813,26.6875,7100,-0.01
1999-01-14,26.7813,26.8594,26.375,26.4688,12200,-0.01
1999-01-15,26.5625,26.9063,26.5625,26.8281,7700,0.01
1999-01-19,27.2813,27.6563,27.125,27.5938,22700,0.03
1999-01-20,27.75,28.125,27.5938,27.75,25800,0.01
1999-01-21,27.6875,27.6875,26.7188,26.7813,23200,-0.03
1999-01-22,26.5938,26.875,26.4063,26.6719,67100,-0.0
1999-01-25,26.6875,26.9063,26.6875,26.8906,495300,0.01
1999-01-26,26.9375,27.0313,26.6719,27.0156,187400,0.0
1999-01-27,27.0938,27.0938,26.75,26.75,6800,-0.01
1999-01-28,27.0,27.3438,27.0,27.25,25800,0.02
1999-01-29,27.2813,27.2813,26.9063,27.25,13800,0.0
1999-02-01,27.375,27.4688,27.1563,27.4063,34000,0.01
1999-02-02,26.9688,27.0469,26.625,27.0,141700,-0.01
1999-02-03,26.9375,27.5156,26.9375,27.5156,38900,0.02
1999-02-04,27.3438,27.4375,27.125,27.3125,7400,-0.01
1999-02-05,27.3125,27.3125,26.8125,27.0,16900,-0.01
1999-02-08,27.125,27.125,26.875,26.9844,6500,-0.0
1999-02-09,27.0625,27.0938,26.5,26.5,220800,-0.02
1999-02-10,26.3125,26.5625,26.1875,26.5625,17800,0.0
1999-02-11,26.4688,27.2813,26.375,27.2813,5300,0.03
1999-02-12,27.125,27.125,26.7188,26.875,8400,-0.01
1999-02-16,27.0,27.3125,27.0,27.125,18500,0.01
1999-02-17,27.0625,27.25,26.8125,26.8438,12900,-0.01
1999-02-18,26.9375,27.2031,26.7656,27.1875,11500,0.01
1999-02-19,27.1875,27.375,27.1875,27.2656,13900,0.0
1999-02-22,27.375,27.8594,27.3125,27.8438,17800,0.02
1999-02-23,27.9063,27.9063,27.5,27.7969,15000,-0.0
1999-02-24,27.875,27.9844,27.4688,27.4688,28000,-0.01
1999-02-25,27.3438,27.3438,26.875,27.2031,98900,-0.01
1999-02-26,27.3125,27.3594,26.8906,27.2813,10800,0.0
1999-03-01,27.2188,27.25,26.9063,27.2344,8800,-0.0
1999-03-02,27.4063,27.6406,27.0469,27.2188,11500,-0.0
1999-03-03,27.3125,27.3125,27.0,27.0469,13100,-0.01
1999-03-04,27.4375,27.5313,27.2344,27.5313,10400,0.02
1999-03-05,27.9375,28.2188,27.8438,28.1563,25400,0.02
1999-03-08,28.0938,28.1875,27.9375,28.1875,62700,0.0
1999-03-09,27.8438,28.25,27.8125,27.9688,12200,-0.01
1999-03-10,27.9375,28.2188,27.7813,28.2188,10700,0.01
1999-03-11,28.2188,28.5625,28.2188,28.4063,23600,0.01
1999-03-12,28.5313,28.6563,28.25,28.25,24600,-0.01
1999-03-15,28.4375,28.5469,28.2188,28.3438,144800,0.0
1999-03-16,28.4375,28.4375,28.2344,28.2813,9100,-0.0
1999-03-17,28.1875,28.3594,28.0156,28.125,2700,-0.01
1999-03-18,27.9688,28.5156,27.9688,28.5156,9500,0.01
1999-03-19,28.5313,28.6563,28.2813,28.3906,6900,-0.0
1999-03-22,28.3125,28.5938,28.2813,28.3125,40900,-0.0
1999-03-23,28.25,28.25,27.4375,27.5313,15400,-0.03
1999-03-24,27.4688,27.6563,27.3438,27.6563,12800,0.0
1999-03-25,27.9063,28.125,27.75,28.125,9700,0.02
1999-03-26,27.9219,28.0313,27.8438,27.9063,6600,-0.01
1999-03-29,27.9375,28.3281,27.9375,28.25,8100,0.01
1999-03-30,28.2188,28.3594,28.0938,28.1563,37300,-0.0
1999-03-31,28.25,28.25,28.0,28.0,6300,-0.01
1999-04-01,28.0,28.0781,27.6563,28.0,22500,0.0
1999-04-05,28.4375,28.75,28.4375,28.625,12400,0.02
1999-04-06,28.75,28.875,28.5625,28.6563,14500,0.0
1999-04-07,28.8438,29.3438,28.8438,29.2031,15700,0.02
1999-04-08,29.125,29.5,29.0938,29.5,29600,0.01
1999-04-09,29.5,29.5938,29.2813,29.5938,6600,0.0
1999-04-12,29.2813,30.3438,29.2813,30.3438,87300,0.03
1999-04-13,30.4375,30.4688,30.0313,30.0313,23600,-0.01
1999-04-14,30.25,30.3125,29.75,29.75,96900,-0.01
1999-04-15,29.8125,29.8125,28.7813,29.0,17800,-0.03
1999-04-16,29.0,29.0,28.5313,28.7188,10400,-0.01
1999-04-19,28.9375,29.0938,27.875,27.9375,32700,-0.03
1999-04-20,28.125,28.4688,27.9063,28.4688,15700,0.02
1999-04-21,28.4063,29.125,28.4063,29.125,16000,0.02
1999-04-22,29.25,29.8438,29.25,29.7188,20200,0.02
1999-04-23,29.9063,30.3906,29.9063,30.3906,9800,0.02
1999-04-26,30.5313,30.5313,30.1875,30.3438,36200,-0.0
1999-04-27,30.5781,30.5938,30.0938,30.375,13900,0.0
1999-04-28,30.25,30.25,29.5625,29.5625,25500,-0.03
1999-04-29,29.625,29.8125,29.0313,29.2188,9800,-0.01
1999-04-30,29.4375,29.5938,29.0,29.0,5800,-0.01
1999-05-03,29.3438,29.5938,29.25,29.5625,13000,0.02
1999-05-04,29.6875,29.6875,29.0,29.0,23000,-0.02
1999-05-05,29.0938,29.3125,28.8125,29.25,17100,0.01
1999-05-06,29.375,29.5938,29.3125,29.375,17500,0.0
1999-05-07,29.625,29.625,29.1875,29.2813,8000,-0.0
1999-05-10,29.3125,29.5625,29.1563,29.2188,27300,-0.0
1999-05-11,29.5625,29.75,29.5,29.6875,51000,0.02
1999-05-12,29.4688,30.0625,29.4063,29.9688,8100,0.01
